id,gold_answer,model_extracted,question
27,['[ln(0.5)]/[ln(0.96584)]'],['20'],Find the half-life of an element which decays by 3.416\% each day. The half-life is [ANS] days.
29,"['442.857142857143', '332.142857142857']","['442.86', '332.14']","Your weekly paycheck is $25$ percent less than your coworker's. Your two paychecks total $775$. Find the amount of each paycheck.
Your coworker's is: [ANS] and yours is [ANS]."
32,['7091.66666666667'],['7091.67'],"An executive in an engineering firm earns a monthly salary plus a Christmas bonus of $7300$ dollars. If she earns a total of $92400$ dollars per year, what is her monthly salary in dollars?
Your answer is: [ANS]"
34,['14.5843461351483'],['\\dfrac{504}{11\\pi}'],A circular arc of length 14 feet subtends a central angle of 55 degrees. Find the radius of the circle in feet. (Note: You can enter $\pi$ as 'pi' in your answer.) [ANS] feet
36,"['2*pi/6', '0.7']","['\\dfrac{\\pi}{3}', '0.7']","Find the period and amplitude of $r=0.7 \sin(6 t)+6$ period=[ANS]
amplitude=[ANS]"
38,"['1250', '875']","['1250', '875']","A concert venue sold 2125 tickets one evening. Tickets cost $\$35.00$ for a covered pavilion seat and $\$20.00$ for a lawn seat. Total receipts were $\$55{,}625.00$. How many of each type of ticket were sold? Lawn tickets: [ANS]
Pavilion tickets: [ANS]"
39,['2.2892'],['2.3'],Solve $p=30 (0.8)^q$ graphically for $q$ if $p=18$. $q=$ [ANS] (give your answer accurate to at least 1 decimal place)
40,"['N', 'O', 'I', 'N']","['\\text{Nominal}, \\text{Ordinal}, \\text{Interval}, \\text{Nominal}']","Before leaving a particular restaurant, patrons are asked to respond to a questionaire containing the questions given below. For each question, indicate  whether the possible responses are Interval, Nominal, or Ordinal.
[ANS] 1. Which of the following attributes of this restaurant do you find most attractive: service, prices, quality of food, menu options? [ANS] 2. Would your overall rating of this restaurant be excellent, good, fair, or poor? [ANS] 3. If you've eaten here before, how long has it been since your last visit? [ANS] 4. Would you recommend this restaurant to a friend?"
41,"['T * W + S*(T+W)', 'T+W', '65.2389937106918']","['10373, 159, 65.239']","The total resistance, $R$, of a particular group is given by the formula: R=S+\left(\frac{1}{\frac{1}{T}+\frac{1}{W}}\right)
This formula can be simplified to the form $\frac{A}{B}$ where $A$ and $B$ contain no fractions. $A=$ [ANS]
$B=$ [ANS]
Suppose that $S=27 \Omega$, $T=64 \Omega$ and $W=95 \Omega$. Then $R=$ [ANS] $\Omega$ Note: Your answer must be a decimal."
43,"['YES', '-6.70156211871642', '-0.298437881283576']","['\\text{Yes}, \\frac{-7 - \\sqrt{41}}{2}, \\frac{-7 + \\sqrt{41}}{2}']","Find all real solutions of equation $2+7 z+z^2=0$.
Does the equation have real solutions? Input Yes or No: [ANS]
If your answer is Yes, input the solutions: $z_1=$ [ANS] and $z_2=$ [ANS] with $z_1\le z_2$."
44,"['(-1,-3)', '-0.948683298050514']","['(-1, -3)', '-\\dfrac{3\\sqrt{10}}{10}']","Determine any point in the third quadrant for which $\tan(\alpha)=3$ One valid point=[ANS]
For this angle, $\sin(\alpha)=$ [ANS]"
49,"['3*k+9*J*u', 'u']",['\\dfrac{3k + 9uJ}{u}'],"Solve the equation for $v$:
 k=\frac{u}{3} \left(v-9 J\right)
$\begin{array}{cccc}\hline &  v=& & [ANS] [ANS] \\ \hline \end{array}$
Note: Write your answer as a single fraction, and type the numerator and denominator separately in the answer blanks provided."
55,"['6*e^(16*x)', '6']",['6e^{16x} + 6'],Let $u(x)=e^{8x}$ and $v(x)=6x+6$. Find a simplified formula for the function below. $v \big(u(x)^2 \big)=$ [ANS] $+$ [ANS]
56,"['A', 'C']","['A', 'C']","For each problem, select the best response.
(a) A 95\% confidence interval for the mean $\mu$ of a population is computed from a random sample and found to be $10 \pm 4$. We may conclude [ANS] A. that if we took many, many additional samples and from each computed a 95\% confidence interval for $\mu$, approximately 95\% of these intervals would contain $\mu$.  B. 95\% of the population is between 6 and 14.  C. that there is a 95\% probability that $\mu$ is between 6 and 14.  D. that there is a 95\% probability that the true mean is 10 and a 95\% chance the true margin of error is 4.  E. All of the above.
(b) Suppose you collect a SRS of size n from a population and from the data collected you computed a 95\% confidence interval for the mean of the population. Which of the following would produce a new confidence interval with larger width (larger margin of error) based on these same data? [ANS] A. Nothing can guarantee absolutely that you will get a larger interval. One can only say the chance of obtaining a larger interval is 0.05.  B. Use a smaller confidence level.  C. Use a larger confidence level.  D. Use the same confidence level, but compute the interval n times. Approximately 5\% of these intervals will be larger.  E. None of the above."
61,['BCEG'],"['B, C, E, G']","How does the symmetry of $ f(x)=\frac{p(x)}{q(x)}$ depend on the symmetry of $p(x)$ and $q(x)$? Select all true statements. There may be more than one correct answer. [ANS] A. If $p(x)$ is even and $q(x)$ is odd, then $f(x)$ is even.  B. If $p(x)$ and $q(x)$ are both even, then $f(x)$ is even.  C. If $p(x)$ is even and $q(x)$ is odd, then $f(x)$ is odd.  D. If $p(x)$ or $q(x)$ is neither even nor odd, then $f(x)$ is neither even nor odd.  E. If $p(x)$ and $q(x)$ are both odd, then $f(x)$ is even.  F. If $p(x)$ is odd and $q(x)$ is even, then $f(x)$ is even.  G. If $p(x)$ is odd and $q(x)$ is even, then $f(x)$ is odd.  H. If $p(x)$ and $q(x)$ are both odd, then $f(x)$ is odd."
62,"['(2, -2)']","['2, -2']","Given that $x=1$ is a zero of the polynomial $P(x)=8x^3-8x^2-32x+32$, find all other zeros of the polynomial $P(x)$. The other zeros of $P(x)$ are $x=$ [ANS].   If there are multiple zeros, separate the different zeros by commas."
64,['12.0814'],['12.08'],"A building has two storeys with unequal heights. From an observation point on the ground ${51\ {\rm ft}}$ from the bottom of the building, the angle of elevation to the bottom of the second storey is $20$ degrees, and the angle of elevation to the top of the second storey is $31$ degrees. Find the height of the second storey. Round your answer to two decimal places if needed. The height of the second storey is [ANS]ft."
66,"['77.2*exp(0.016*t)', '92.056', '2020']","['77.2 e^{0.016t}', '92.014', '2020']","World poultry production was 77.2 million tons in the year 2004 and increasing at a continuous rate of 1.6\% per year. Assume that this growth rate continues.
(a) Write an exponential formula for world poultry production, $P$, in million tons, as a function of the number of years, $t$, since 2004. $P=$ [ANS]
(b) Use the formula to estimate world poultry production in the year 2015. [ANS] million tons (Round to the nearest 0.001.) (c) Use a graph to estimate the year in which world poultry production goes over 100 million tons. In the year [ANS]"
71,"['(-8,infinity)']","['[-8, \\infty)']",Find the interval on which the funtion $f(x)=|x+8|$ is increasing: [ANS]
72,"['190', '250']","['190', '250']","Show how you can add and subtract mentally. Try to do these problems. 1) 70+90+30=[ANS]
2) 360-110=[ANS]"
75,"['13^2 + (x-4)^2 = x^2', '23.125']",['\\dfrac{185}{8}'],"A tree is supported by a wire anchored in the ground 13 feet from its base. The wire is 4 feet longer than the height that it reaches on the tree. How long is the wire? a) Use the Pythagorean theorem to write a polynomial equation to solve to answer the question. Use the variable $x$ to represent the length of the wire. Answer: [ANS]
b) Solve the equation and give the length of the wire. Answer: [ANS] feet"
77,"['sqrt(51^2+56^2)', 'N', '65.3246', 'E']","['75.9', 'S', '19.2', 'E']","A boat is traveling between two ports by first going S 67 $^o$ E for 51 miles. The boat then stops and turns at a 90 $^o$ angle and travels N 23 $^o$ E for 56 miles to reach the ending port. The straight distance between starting and ending ports is [ANS]
The bearing from the first port to the second port is [ANS] [ANS] $^o$ [ANS].
(Express your answers using at least one decimal place.)"
80,['A'],['3360'],"Keesha's computer can receive information at a rate of 56 megabits per second
At this rate, how many megabits of information can her computer receive in one minute? [ANS] A. 3360  B. 5640  C. 5600  D. 3260"
84,"['(-1-2.44948974278318i, -1+2.44948974278318i)']","['-1+\\sqrt{6}i,-1-\\sqrt{6}i']","Find all solutions of the equation $x^2+2x+7=0$ and express them in the form $a+b i$:
solutions: [ANS]
Note: If there is more than one solution, enter a comma separated list (i.e.: 1+2i,3+4i). If there are no solutions, enter None."
93,"['20/[5+3*cos(t)]', '90/[4-sin(t)]']","['\\dfrac{25}{4 + 12 \\cos t}', '\\dfrac{24}{1 + \\dfrac{1}{4} \\sin t}']","Find a polar equation for the ellipse that has its focus at the pole and satisfies the stated conditions. Enter t for the variable $\theta$.
(a) Directrix to the right of the pole; $b=$ 5 and $e=\frac{3}{5}$. Equation of the ellipse is $r=$ [ANS]
(b) Directrix below the pole; $c=$ 6 and $e=\frac{1}{4}$. Equation of the ellipse is $r=$ [ANS]"
97,['301'],['302'],"Albert wants to determine a 98 percent confidence interval for the true proportion of times he rolls a 4 (using a fair, 6-sided die). How many rolls must Albert make to get a margin of error less than or equal to.05? [To find n, use the guessed value p*=1/6 for the sample proportion and the values for z*from a z-table or t-table.] [Round to the smallest integer that works.] n=[ANS]"
100,"['7.21212', '48.7879', '9.78788', '66.2121', '0.0124377', '6.6349', 'No']","['7.211', '48.789', '9.788', '66.212', '0.012', '6.635', '\\text{Fail to reject } H_0', '\\text{Insufficient evidence}']","There is a popular story (among data miners) that there is a correlation between men buying diapers and buying beer while shopping. A student tests this theory by surveying 132 male shoppers as they left a grocery store. The results are summarized in the contingency table. Test for a dependent relationship between buying beer and buying diapers. Conduct this test at the 0.01 significance level.
$\begin{array}{cccc}\hline & Bought Diapers & Did Not Buy Diapers & Totals \\ \hline Beer & 7 & 49 & 56 \\ \hline No Beer & 10 & 66 & 76 \\ \hline Totals & 17 & 115 & 132 \\ \hline \end{array}$ 132
(a) Find the expected frequencies.
$\begin{array}{ccc}\hline & Bought Diapers & Did Not Buy Diapers \\ \hline Beer & [ANS] & [ANS] \\ \hline No Beer & [ANS] & [ANS] \\ \hline \end{array}$ (b) Find the test statistic. [ANS]
(c) Find the critical value. [ANS]
(d) Is there sufficient data to support the claim? [ANS] [ANS]"
103,"['(-1)^(n+1)/(n^4)', '(n+2)/(n+4)']","['\\dfrac{(-1)^{n+1}}{n^4}, \\dfrac{n + 2}{n + 4}']","Find a formula for the $n$ th term of the following sequences:
(a) $\frac{1}{1},\frac{-1}{16},\frac{1}{81},\ldots$ $a_n=$ [ANS]
(b) $\frac{3}{5},\frac{4}{6},\frac{5}{7},\ldots$ $b_n=$ [ANS]
Assume a starting index of $n=1$."
105,"['25', '0', '500', '25+0.65*(m-500)', '500']","['25 \\text{ if } 0 \\leq m \\leq 500, 25 + 0.65(m - 500) \\text{ if } m > 500']","A mobile plan charges a base monthly fee of \$25.00 for the first 500 minutes of air time plus a charge of \$0.65 for each additional minute. Write a piecewise-defined linear function which calculates the monthly cost $C$ (in dollars) for using $m$ minutes of air time.
$\begin{array}{cccc}\hline &  C(m)=\left\lbrace \begin{array}{cc} &\\ &\\ &\\ &\\ &\\ &\\ &\\ &\\ &\\ &\\ \end{array}\right. & & [ANS]if [ANS] \leq m \leq [ANS] [ANS]if m > [ANS] \\ \hline \end{array}$"
107,['-0.831479419283098'],['-\\dfrac{2\\sqrt{14}}{9}'],"If $\cos(\alpha)$=$\frac {5} {9}$, and $\alpha$ is in quadrant IV, then $\sin(\alpha)$=[ANS]
Express your answer in exact form. Your answer may contain NO decimals. Type ""sqrt"" if you need to use a square root."
109,"['8', '448']","['8', '448']",The demand function for a product is $p=112-7 q$ where $p$ is the price in dollars when $q$ units are demanded. Find the level of production that maximizes the total revenue and determine the revenue. $q=$ [ANS] units $R=$ \$ [ANS]
111,"['stretched', '8', 'compressed', '0.125', '(-16,-3)']","['\\text{stretched}, 8, \\text{compressed}, 8', '(-16, -3)']","Describe the effect that the transformations $y=\frac{1}{8} f \left(\frac{1}{8} x \right)$ have on the graph of $y=f(x)$.
(a) The graph of $y=f(x)$ is horizontally [ANS] by a factor of [ANS] and vertically [ANS] by a factor of [ANS]. Your numerical answers should all be positive. (b) If the point $(-2,-24)$ is on the graph of $y=f(x)$, what point must be on the graph of $y=\frac{1}{8} f \left(\frac{1}{8} x \right)$? The point [ANS] must be on the new graph."
113,['14.115024216'],['14.112'],"The length of a cube was measured and found to be 28 cm with a possible error in measurement of at most 0.006 cm. What is the maximum error in using this value of the length to compute the volume of the cube.
Your answer is that the maximum error must be less than [ANS]."
124,"['7.14285714285714', '0.714285714285714', '24.2857142857143']","['\\frac{50}{7}', '\\frac{5}{7}', '\\frac{170}{7}']","Charlie is trying to allocate his study time this weekend. He can spend time working with either his math tutor or his chemistry tutor to prepare for next week's tests. His math tutor charges \$ 30 per hour. His chemistry tutor charges \$ 50 per hour. He has \$ 250 to spend on tutoring, but each hour with the math tutor requires 4 aspirin and 1 hours of sleep to recover. Each hour with the chemistry tutor requires 2 aspirin and 4 hour of sleep to recover. Charlie has only 30 aspirin left, and can only afford to sleep for 16 hours this weekend. If each hour of math tutoring will improve his grade by 3 points and each hour of chemistry tutoring will improve his grade by 4 points, how many hours should he spend with each tutor in order to improve his grades the most?
Charlie should spend [ANS] hours with his math tutor and [ANS] hours with his chemistry tutor to improve his grades by a total of [ANS] points."
125,['12.3941512253475'],['13'],"Suppose you wanted to estimate the difference between two population means correct to within $3.3$ with probability $0.96$. If prior information suggests that the popluation variances are approximately equal to $\sigma^2_1=\sigma^2_2=16$ and you want to select independent random samples of equal size from the poulations, how large should the sample sizes, $n_1$ and $n_2$ be? answer: $n_1=n_2=$ [ANS]"
126,['23.0583565739482'],['24'],"The EPA wants to test a randomly selected sample of $n$ water specimens and estimate the mean daily rate of pollution produced by a mining operation. If the EPA wants a $95$ \% confidence interval with a bound of error of $2$ milligram per liter (mg/L), how many water specimens are required in the sample? Assume prior knowledge indicates that pollution readings in water samples taken during a day have been approximately normally distributed with a standard deviation of $4.9$ (mg/L). $n=$ [ANS]"
127,"['172.680555555555', '174.228888888889', '7.17799319321462', '6.7688366501569', '0.592589807558812', '77.7330455545177', '0.558811286099472', '179.436699624622', '0.669035334049935', '1.973381', '178.116438008079', '180.756961241164', '175.033660673377', '180.058005993289', 'information']","['173.477', '174.277', '8.278', '8.634', '0.481', '150.530', '0.454', '176.489', '1.387', '2.032', '173.723', '179.255', '174.364', '179.596', 'information']","The variables are x=height of father and y=height of corresponding son. The unit is centimetre (cm).
For input into R, the data vectors for heights of fathers and corresponding heights of their sons are x=c(170.2, 176.8, 183.5, 172.9, 163.8, 165, 171.2, 169.8, 158.5, 173.1, 182.3, 176, 173.5, 171.7, 181.9, 173.5, 163.9, 166.1, 173.9, 173.2, 164.9, 175.2, 164.4, 174.3, 176.1, 171.6, 183.1, 189.3, 169.4, 173.5, 171.1, 179.5, 164.3, 183.2, 172.5, 176.5, 174.9, 158.2, 178.8, 171.8, 167.1, 174.2, 161.4, 173.6, 159.9, 163.2, 183.2, 177, 174.6, 179.3, 171.4, 177.1, 181.9, 171, 168.6, 167.3, 177.3, 175.6, 184.1, 174.3, 172.8, 178.8, 186.1, 174, 171.7, 170.8, 171.9, 167.6, 162.3, 166.2, 161.1, 177.5, 177.8, 166.2, 177, 162.5, 166.6, 169.7, 178.4, 175.8, 170.4, 168.4, 173.9, 176.4, 172.8, 181.5, 180.1, 167.7, 174.1, 173.4, 166.7, 174, 163.3, 165.1, 170.3, 172.8, 181.2, 176.6, 181.3, 170.8, 169.3, 167, 175.1, 155.3, 185.6, 170.9, 169.6, 166.2, 164.4, 178, 169.8, 167, 180, 187.8, 172.5, 169.5, 170.8, 161.8, 170.2, 175.8, 185, 170.2, 163, 187.1, 170.7, 184.8, 176.5, 175, 179.7, 158.4, 172.7, 184.4, 173.6, 175, 179.6, 171.9, 173, 180.1, 184.1, 175.1, 185.4, 172.2, 166.6, 158.5, 168.1, 166.4, 156.5, 164.1, 169.6, 178.7, 163.9, 162.9, 166, 171.6, 169.5, 185.4, 181.4, 170, 176.6, 186.2, 168.6, 179.3, 173.3, 166.5, 183.2, 159, 170.7, 160.5, 178.6, 178.5, 157.8, 173.2, 165.6, 171.4, 171.2, 171, 181, 184.3, 171.6, 180) and y=c(181.8, 179.3, 166.8, 176.1, 169.1, 165.3, 170.8, 169, 179.8, 182.6, 184.8, 182.8, 162.8, 168.3, 176.1, 175.6, 167.1, 178.4, 176.6, 172.6, 169.2, 181, 172.5, 179.1, 183.6, 177.7, 186.7, 192.5, 174, 169.3, 180, 169.8, 168.6, 175.7, 172.1, 174, 178.8, 160.4, 179.9, 166.8, 180, 179.4, 163.3, 174.6, 172.1, 163.6, 177.6, 176.1, 170.1, 177.6, 171.6, 173.8, 169.6, 173.3, 176.7, 182.6, 177.9, 176, 183.2, 163.8, 181.8, 171.7, 177.1, 174.6, 176, 168.2, 171.6, 169.8, 166.3, 163.6, 164.9, 186.1, 176.1, 166.9, 167, 167.6, 174.6, 171.7, 187.1, 181.4, 174.7, 164.2, 178.8, 181.9, 172.6, 172.3, 178, 170.4, 174.3, 178.2, 168.1, 168.3, 172, 167.6, 181.1, 176.1, 178.8, 180.8, 185.2, 174.1, 182.9, 170.9, 176.4, 164.7, 185, 170.7, 171.2, 178.2, 167.8, 175.1, 178.8, 168.4, 172.2, 187.7, 167.1, 160.4, 177.8, 168.1, 176.7, 181.5, 177.5, 169.1, 171, 169.9, 168.6, 182.6, 169.9, 174.3, 186.2, 159.9, 156.8, 175, 178.2, 177.6, 174.4, 177, 169.6, 171.4, 179.6, 178.4, 186, 171.2, 172.9, 171.6, 175.8, 170, 159.5, 171.8, 174.3, 183.5, 164.7, 161.5, 164.4, 172.1, 178.7, 177.7, 181.6, 178.5, 174.9, 187.7, 173.1, 178.7, 169.3, 166.8, 177.7, 172.1, 163.9, 166.9, 182.5, 193, 165.4, 176.7, 172.9, 178, 172, 172, 170.3, 189.3, 172.9, 178.8) For the questions below, use 3 decimal places. Part a) The summary statistics (sample means of x and y, SDs of x and y, correlation coefficient): ${\bar x}$=[ANS]
${\bar y}$=[ANS]
$s_x$=[ANS]
$s_y$=[ANS]
${r_{xy}}$=[ANS]
Part b) The coefficients of the least square regression line are ${\hat \beta}_0$=[ANS]
${\hat \beta}_1$=[ANS]
Part c) Suppose we want to get a confidence interval for the subpopulation mean of son's height $\mu_{Y}(x)$ for fathers with a height of $x=182$. The estimated subpopulation mean is [ANS]. The standard error for this estimate is [ANS]. The t critical value for the 95\% confidence interval is [ANS]. The lower endpoint of the 95\% confidence interval for $\mu_{Y}(x)$ is [ANS]. The upper endpoint of the 95\% confidence interval for $\mu_{Y}(x)$ is [ANS].
Part d) For comparison, let's not use regression to get a confidence interval for the subpopulation mean. Consider instead the subset of fathers whose height is within 2.5 cm of $x=182$, including the endpoints. Based on the corresponding sons of these fathers obtain an approximate 95\% confidence interval of the form ${\overline y}(x) \pm 2 \times s_y(x)/\sqrt{n(x)}$ The lower endpoint of the 95\% confidence interval is [ANS]. The upper endpoint of the 95\% confidence interval is [ANS].
Part e) Why is the confidence interval in (c) shorter than the confidence interval in (d)? It is based on more [ANS] (put in one suitable word)."
132,"['C', 'A']","['D, D']","For an F-curve with degrees of freedom df=(12,5), find the F-value that has area 0.01 to its right. [ANS] A. 5.06  B. 3.27  C. 9.89  D. None of the above
For an F-curve with degrees of freedom df=(4,10), find the F-value that has area 0.005 to its right. [ANS] A. 7.34  B. 20.97  C. 2.61  D. None of the above"
139,"['(-x - sqrt(9 - (y-5*b)**2))/(--4)', '(-x + sqrt(9 - (y-5*b)**2))/(--4)']","['\\frac{-x - \\sqrt{9 - (y - 5b)^2}}{4}, \\frac{-x + \\sqrt{9 - (y - 5b)^2}}{4}']","Solve for $a$: (x+4 a)^2+(y-5 b)^2=9 There are two solutions, $a_1$ and $a_2$, where $a_1 \leq a_2$. $a_1=$ [ANS] $a_2=$ [ANS]"
150,['2.09959521978367'],['2.10'],"Use a graphing calculator to find all solutions to the equation
3^{-x}=x-2
Give the solutions as a comma separated list, with each value correct to two decimal places. If there are no solutions, enter None. [ANS]"
151,"['0.564642473395035', '0.825335614909678', '0.684136808341692']","['0.5646, 0.8253, 0.6841']",Find the following values: $\sin (0.6)=$ [ANS] ; $\cos (0.6)=$ [ANS] ; $\tan (0.6)=$ [ANS].
152,"['3/6', '11/55', '55.25', '13.26']","['\\dfrac{1}{2}', '\\dfrac{1}{5}', '\\$55.25', '13.26']","Express each ratio as a fraction in lowest terms. 1) 3 goals in 6 attempts: [ANS]
2) 11 quarters out of 55 coins: [ANS]
Express each rate as a unit rate. If the answer is in dollars and cents it must begin with a dollar sign (\$). 3) \$221 for 4 theater tickets: [ANS] (Price per ticket in dollars and cents) 4) 112.7 miles in 8.5 hours: [ANS] (Answer rounded to 2 decimal places)"
159,['0.891543061484441'],['0.8924'],"Determine the probability of making a Type II error for the following hypothesis test, given that $\mu=211$.
$ \qquad \begin{array}{rrcl} H_0: & \mu &=& 210 \\ H_1: & \mu & \not=& 210 \end{array}$ For this test, take $\sigma=11$, $n=60$, and $\alpha=0.05$. P(Type II Error)=[ANS]"
161,"['DECREASING', '4339144.29375749']","['Decreasing, 4328932']","The probability that a \$1 ticket DOES NOT win in the State Lottery is $\frac{7258072}{7258073}$. The probabilty $p$ that $n$ independently sold tickets are ALL losers and the jackpot rolls over is given by $p=(\frac{7258072}{7258073})^n$. As $n$ increases, is $p$ increasing or decreasing? In other words, as the number of tickets sold increases, is the probability of a rollover increasing or decreasing? [ANS]
For what number of tickets sold is the probability of a rollover greater than 55\%? Fewer than [ANS] tickets must be sold."
